iter	Passed	Remaining
0	57	57580
1	58	28943
2	58	19404
3	58	14622
4	59	11747
5	59	9833
6	59	8470
7	60	7450
8	60	6644
9	60	6000
10	60	5475
11	61	5043
12	61	4673
13	61	4354
14	62	4083
15	62	3842
16	62	3633
17	63	3445
18	63	3279
19	63	3127
20	64	2989
21	64	2862
22	64	2746
23	65	2644
24	65	2549
25	65	2461
26	66	2381
27	66	2306
28	66	2234
29	67	2169
30	67	2108
31	67	2050
32	68	1997
33	68	1948
34	68	1902
35	69	1855
36	69	1811
37	69	1771
38	70	1731
39	70	1694
40	70	1660
41	71	1625
42	71	1593
43	71	1562
44	72	1534
45	72	1506
46	72	1479
47	73	1454
48	73	1429
49	73	1405
50	74	1382
51	74	1360
52	74	1338
53	75	1318
54	75	1297
55	75	1280
56	76	1261
57	76	1243
58	76	1226
59	77	1211
60	77	1194
61	77	1178
62	78	1164
63	78	1150
64	78	1135
65	79	1121
66	79	1108
67	79	1094
68	80	1083
69	80	1071
70	80	1058
71	81	1047
72	81	1037
73	82	1026
74	82	1016
75	82	1005
76	83	994
77	83	985
78	83	975
79	83	965
80	84	955
81	84	946
82	84	935
83	85	927
84	85	918
85	85	909
86	85	901
87	86	894
88	86	886
89	86	879
90	87	872
91	87	865
92	88	858
93	88	851
94	88	844
95	89	838
96	89	833
97	89	826
98	90	819
99	90	813
100	90	806
101	91	801
102	91	795
103	91	790
104	92	784
105	92	779
106	92	773
107	93	768
108	93	764
109	93	758
110	94	753
111	94	748
112	94	743
113	94	738
114	95	732
115	95	728
116	95	722
117	96	718
118	96	713
119	96	709
120	97	705
121	97	701
122	97	697
123	98	694
124	98	690
125	98	686
126	99	682
127	99	679
128	100	676
129	100	672
130	100	669
131	101	665
132	101	661
133	101	658
134	102	654
135	102	651
136	102	647
137	103	644
138	103	640
139	103	637
140	104	633
141	104	629
142	104	627
143	104	624
144	105	620
145	105	617
146	105	614
147	106	611
148	106	608
149	106	605
150	107	603
151	107	600
152	107	597
153	108	595
154	108	592
155	109	590
156	109	587
157	109	584
158	109	581
159	110	579
160	110	575
161	110	573
162	111	570
163	111	568
164	111	565
165	112	563
166	112	561
167	112	558
168	113	557
169	113	554
170	113	552
171	114	549
172	114	547
173	114	545
174	115	543
175	115	541
176	116	539
177	116	537
178	116	535
179	117	533
180	117	531
181	117	529
182	118	527
183	118	525
184	118	523
185	119	521
186	119	519
187	120	518
188	121	519
189	121	517
190	121	515
191	122	513
192	122	512
193	122	510
194	123	508
195	123	506
196	123	504
197	124	503
198	124	501
199	124	499
200	125	498
201	125	496
202	126	494
203	126	493
204	126	491
205	127	490
206	127	488
207	127	486
208	128	485
209	128	483
210	128	481
211	129	480
212	129	478
213	129	477
214	130	475
215	130	473
216	130	472
217	131	470
218	131	469
219	131	467
220	132	465
221	132	464
222	132	463
223	133	461
224	133	460
225	133	458
226	134	457
227	134	456
228	135	454
229	135	453
230	135	451
231	136	450
232	136	449
233	136	447
234	137	448
235	138	447
236	138	445
237	138	444
238	139	443
239	139	441
240	139	440
241	140	439
242	140	437
243	140	436
244	141	435
245	141	433
246	141	432
247	142	430
248	142	429
249	143	429
250	143	428
251	144	427
252	144	426
253	144	425
254	145	424
255	145	422
256	145	421
257	146	420
258	146	419
259	146	418
260	147	416
261	147	415
262	147	414
263	148	413
264	148	412
265	148	410
266	149	409
267	149	408
268	149	407
269	150	406
270	150	404
271	150	403
272	151	402
273	151	401
274	151	400
275	152	399
276	152	398
277	152	397
278	153	396
279	153	395
280	153	393
281	154	392
282	154	391
283	154	390
284	155	389
285	155	388
286	155	387
287	156	385
288	156	384
289	156	383
290	156	382
291	157	381
292	157	380
293	158	379
294	158	378
295	158	377
296	158	376
297	159	375
298	159	374
299	160	373
300	160	372
301	160	371
302	161	370
303	161	369
304	161	368
305	162	367
306	162	366
307	162	365
308	163	364
309	163	363
310	163	362
311	164	361
312	164	360
313	164	359
314	165	358
315	165	357
316	165	356
317	165	355
318	166	354
319	166	353
320	166	353
321	167	352
322	167	351
323	168	350
324	168	349
325	168	349
326	169	348
327	169	347
328	169	346
329	170	345
330	170	344
331	170	344
332	171	343
333	171	342
334	171	341
335	172	340
336	172	339
337	172	338
338	173	337
339	173	336
340	173	335
341	174	335
342	174	334
343	174	333
344	175	332
345	175	331
346	176	331
347	176	330
348	176	329
349	177	328
350	177	328
351	177	327
352	178	326
353	178	325
354	178	324
355	179	323
356	179	323
357	179	322
358	180	321
359	180	320
360	180	320
361	181	319
362	181	318
363	181	317
364	181	316
365	182	316
366	183	315
367	183	315
368	183	314
369	184	313
370	184	312
371	184	311
372	184	310
373	185	310
374	185	309
375	186	308
376	186	308
377	186	307
378	187	306
379	187	306
380	187	305
381	188	304
382	188	303
383	188	302
384	188	301
385	189	301
386	189	300
387	189	299
388	189	298
389	190	297
390	190	296
391	190	295
392	190	294
393	191	294
394	191	293
395	191	292
396	191	291
397	192	290
398	192	289
399	192	288
400	192	288
401	193	287
402	193	286
403	193	285
404	193	284
405	194	283
406	194	283
407	194	282
408	194	281
409	195	280
410	195	279
411	195	279
412	195	278
413	195	277
414	196	276
415	196	275
416	196	274
417	196	274
418	197	273
419	197	272
420	197	271
421	197	271
422	198	270
423	198	269
424	198	268
425	198	268
426	199	267
427	199	266
428	199	265
429	199	264
430	200	264
431	200	263
432	200	262
433	200	261
434	201	261
435	201	260
436	201	259
437	201	259
438	202	258
439	202	257
440	202	256
441	202	256
442	203	255
443	203	254
444	203	253
445	203	253
446	204	252
447	204	251
448	204	251
449	204	250
450	205	249
451	205	249
452	205	248
453	205	247
454	206	246
455	206	246
456	206	245
457	206	244
458	207	244
459	207	243
460	207	242
461	207	242
462	208	241
463	208	240
464	208	240
465	208	239
466	209	238
467	209	238
468	209	237
469	209	236
470	210	236
471	210	235
472	210	234
473	210	234
474	211	233
475	211	232
476	211	232
477	211	231
478	212	230
479	212	230
480	212	229
481	212	228
482	213	228
483	213	227
484	213	226
485	213	226
486	214	225
487	214	224
488	214	224
489	214	223
490	215	223
491	215	222
492	215	221
493	215	221
494	216	220
495	216	219
496	216	219
497	216	218
498	217	217
499	217	217
500	217	216
501	217	216
502	218	215
503	218	214
504	218	214
505	218	213
506	219	212
507	219	212
508	219	211
509	219	211
510	220	210
511	220	210
512	220	209
513	220	208
514	221	208
515	221	207
516	221	207
517	221	206
518	222	205
519	222	205
520	222	204
521	222	204
522	223	203
523	223	202
524	223	202
525	223	201
526	224	201
527	224	200
528	224	199
529	224	199
530	225	198
531	225	198
532	225	197
533	225	196
